name,cuisine,avg_del_time,avg_price_for_2,offers
Hussain's Mandi House,"Snacks, Chinese, Indian",37 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Agra mithai vatika,"Sweets, South Indian, Chaat, Beverages",36 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Badri's food court,"Sweets, South Indian, Chaat, Beverages",36 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Rice++,"Sweets, South Indian, Chaat, Beverages",36 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Bangaram tiffin center,"Sweets, South Indian, Chaat, Beverages",36 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Steel Cafe by Kunal Gir,"Sweets, South Indian, Chaat, Beverages",36 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Monginis Cake Shop,"Sweets, South Indian, Chaat, Beverages",36 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Revel Ice creams,"Sweets, South Indian, Chaat, Beverages",36 MINS,₹150 FOR TWO,50% off | Use WELCOME50
SUBHAPRADHA TIFFINS,"Sweets, South Indian, Chaat, Beverages",36 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Aroma's Kitchen,"Sweets, South Indian, Chaat, Beverages",36 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Friend Shawarma Corner,"Sweets, South Indian, Chaat, Beverages",36 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Express Shawarma,"Sweets, South Indian, Chaat, Beverages",36 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Vrk Food Chain,"Sweets, South Indian, Chaat, Beverages",36 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Mana Dosa,"Sweets, South Indian, Chaat, Beverages",36 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Just Rice,"Sweets, South Indian, Chaat, Beverages",36 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Millets & Bowls	,"Sweets, South Indian, Chaat, Beverages",36 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Wraps and Wiches,"Sweets, South Indian, Chaat, Beverages",36 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Wraps and Wiches,Beverages,42 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Istanbul pizza den,Beverages,42 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Pulav Raja	,Beverages,42 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Pizza Master,Beverages,42 MINS,₹150 FOR TWO,50% off | Use WELCOME50
